INFO: ChannelWidth 80, Arch_filename "/home/alex/Documents/EPFL/PARSA/VTR8_S/vtr_flow/arch/timing/k6_frac_N10_frac_chain_mem32K_40nm.xml"
INFO: Total: SegmentTypes 1, Channels 2, Delta_xs 20, Delta_ys 20

SegTypeId 0 (unnamed_segment_0, length 4) Chan 0
0, 16 : 4.85698e-10, 4.54901e-10
0, 17 : 4.85698e-10, 4.54901e-10
0, 18 : 6.55697e-10, 7.35921e-10
0, 19 : 8.77884e-10, 1.01694e-09
1, 0 : 3.40282e+38, 3.40282e+38
1, 1 : 3.40282e+38, 3.40282e+38
1, 2 : 3.40282e+38, 3.40282e+38
1, 3 : 3.40282e+38, 3.40282e+38
1, 4 : 3.40282e+38, 3.40282e+38
1, 5 : 3.40282e+38, 3.40282e+38
1, 6 : 3.40282e+38, 3.40282e+38
1, 7 : 3.40282e+38, 3.40282e+38
1, 8 : 3.40282e+38, 3.40282e+38
1, 9 : 3.40282e+38, 3.40282e+38
1, 10 : 3.40282e+38, 3.40282e+38
1, 11 : 3.40282e+38, 3.40282e+38
1, 12 : 3.40282e+38, 3.40282e+38
1, 13 : 3.40282e+38, 3.40282e+38
1, 14 : 3.40282e+38, 3.40282e+38
1, 15 : 3.40282e+38, 3.40282e+38
1, 16 : 3.40282e+38, 3.40282e+38
1, 17 : 3.40282e+38, 3.40282e+38
1, 18 : 3.40282e+38, 3.40282e+38
1, 19 : 3.40282e+38, 3.40282e+38
2, 0 : 1.66297e-10, 1.73881e-10
2, 1 : 1.66297e-10, 1.73881e-10
2, 2 : 1.66297e-10, 1.73881e-10
2, 3 : 1.66297e-10, 1.73881e-10
2, 4 : 1.66297e-10, 1.73881e-10
2, 5 : 1.66297e-10, 1.73881e-10
2, 6 : 2.87491e-10, 3.14391e-10
2, 7 : 2.87491e-10, 3.14391e-10
2, 8 : 2.87491e-10, 3.14391e-10
2, 9 : 3.09426e-10, 3.14391e-10
2, 10 : 4.21046e-10, 4.54901e-10
2, 11 : 4.21046e-10, 4.54901e-10
2, 12 : 4.27447e-10, 4.54901e-10
2, 13 : 4.5381e-10, 4.54901e-10
2, 14 : 5.66297e-10, 5.95411e-10
2, 15 : 5.66297e-10, 5.95411e-10
2, 16 : 5.66297e-10, 5.95411e-10
2, 17 : 6.62041e-10, 7.35921e-10
2, 18 : 8.90154e-10, 1.01694e-09
2, 19 : 3.40282e+38, 3.40282e+38
3, 0 : 1.86452e-10, 1.73881e-10
3, 1 : 1.87485e-10, 1.73881e-10
3, 2 : 1.87485e-10, 1.73881e-10
3, 3 : 1.87485e-10, 1.73881e-10
3, 4 : 1.87485e-10, 1.73881e-10
3, 5 : 1.87485e-10, 1.73881e-10
3, 6 : 3.24195e-10, 3.14391e-10
3, 7 : 3.2626e-10, 3.14391e-10
3, 8 : 3.27367e-10, 3.14391e-10
3, 9 : 3.29581e-10, 3.14391e-10
3, 10 : 4.62896e-10, 4.54901e-10
3, 11 : 4.42382e-10, 4.54901e-10
3, 12 : 4.66143e-10, 4.54901e-10
3, 13 : 4.70644e-10, 4.54901e-10
3, 14 : 6.01746e-10, 5.95411e-10
3, 15 : 6.01746e-10, 5.95411e-10
3, 16 : 6.02778e-10, 5.95411e-10
3, 17 : 6.87582e-10, 7.35921e-10
3, 18 : 9.1149e-10, 1.01694e-09
3, 19 : 3.40282e+38, 3.40282e+38
4, 0 : 2.10213e-10, 1.73881e-10
4, 1 : 2.1132e-10, 1.73881e-10
4, 2 : 2.1132e-10, 1.73881e-10
4, 3 : 2.1132e-10, 1.73881e-10
4, 4 : 2.12427e-10, 1.73881e-10
4, 5 : 2.12427e-10, 1.73881e-10
4, 6 : 3.49062e-10, 3.14391e-10
4, 7 : 3.49062e-10, 3.14391e-10
4, 8 : 3.51276e-10, 3.14391e-10
4, 9 : 3.52383e-10, 3.14391e-10
4, 10 : 4.68505e-10, 4.54901e-10
4, 11 : 4.86805e-10, 4.54901e-10
4, 12 : 4.91233e-10, 4.54901e-10
4, 13 : 4.9234e-10, 4.54901e-10
4, 14 : 6.24548e-10, 5.95411e-10
4, 15 : 6.24548e-10, 5.95411e-10
4, 16 : 6.27869e-10, 5.95411e-10
4, 17 : 7.05147e-10, 7.35921e-10
4, 18 : 9.34503e-10, 1.01694e-09
4, 19 : 3.40282e+38, 3.40282e+38
5, 0 : 2.855e-10, 3.14391e-10
5, 1 : 2.85723e-10, 3.14391e-10
5, 2 : 2.86384e-10, 3.14391e-10
5, 3 : 2.86384e-10, 3.14391e-10
5, 4 : 2.86384e-10, 3.14391e-10
5, 5 : 2.88821e-10, 3.14391e-10
5, 6 : 3.49062e-10, 3.14391e-10
5, 7 : 3.49062e-10, 3.14391e-10
5, 8 : 3.5349e-10, 3.14391e-10
5, 9 : 4.28777e-10, 4.54901e-10
5, 10 : 4.68505e-10, 4.54901e-10
5, 11 : 4.86805e-10, 4.54901e-10
5, 12 : 4.93447e-10, 4.54901e-10
5, 13 : 5.69618e-10, 5.95411e-10
5, 14 : 6.25655e-10, 5.95411e-10
5, 15 : 6.25655e-10, 5.95411e-10
5, 16 : 6.31189e-10, 5.95411e-10
5, 17 : 7.07361e-10, 7.35921e-10
5, 18 : 9.40037e-10, 1.01694e-09
5, 19 : 3.40282e+38, 3.40282e+38
6, 0 : 3.0404e-10, 3.14391e-10
6, 1 : 3.0404e-10, 3.14391e-10
6, 2 : 3.0404e-10, 3.14391e-10
6, 3 : 3.0404e-10, 3.14391e-10
6, 4 : 3.0404e-10, 3.14391e-10
6, 5 : 3.07212e-10, 3.14391e-10
6, 6 : 4.28554e-10, 4.54901e-10
6, 7 : 4.44955e-10, 4.54901e-10
6, 8 : 4.45104e-10, 4.54901e-10
6, 9 : 4.5381e-10, 4.54901e-10
6, 10 : 5.6211e-10, 5.95411e-10
6, 11 : 5.49258e-10, 5.95411e-10
6, 12 : 5.86167e-10, 5.95411e-10
6, 13 : 5.98195e-10, 5.95411e-10
6, 14 : 7.07361e-10, 7.35921e-10
6, 15 : 7.22506e-10, 7.35921e-10
6, 16 : 7.2472e-10, 7.35921e-10
6, 17 : 7.44941e-10, 7.35921e-10
6, 18 : 9.54224e-10, 1.01694e-09
6, 19 : 3.40282e+38, 3.40282e+38
7, 0 : 3.26335e-10, 3.14391e-10
7, 1 : 3.26335e-10, 3.14391e-10
7, 2 : 3.26335e-10, 3.14391e-10
7, 3 : 3.26335e-10, 3.14391e-10
7, 4 : 3.26335e-10, 3.14391e-10
7, 5 : 3.26335e-10, 3.14391e-10
7, 6 : 4.64151e-10, 4.54901e-10
7, 7 : 4.65184e-10, 4.54901e-10
7, 8 : 4.67324e-10, 4.54901e-10
7, 9 : 4.70719e-10, 4.54901e-10
7, 10 : 5.88232e-10, 5.95411e-10
7, 11 : 5.66389e-10, 5.95411e-10
7, 12 : 6.07429e-10, 5.95411e-10
7, 13 : 6.12815e-10, 5.95411e-10
7, 14 : 7.41702e-10, 7.35921e-10
7, 15 : 7.42735e-10, 7.35921e-10
7, 16 : 7.42735e-10, 7.35921e-10
7, 17 : 7.62808e-10, 7.35921e-10
7, 18 : 9.90612e-10, 1.01694e-09
7, 19 : 3.40282e+38, 3.40282e+38
8, 0 : 3.49062e-10, 3.14391e-10
8, 1 : 3.49062e-10, 3.14391e-10
